State,Education,TimeFrame,Data
United States,Not a high school graduate,2000,21951000
United States,High school diploma or GED,2000,72791000
United States,Associate's Degree,2000,10593000
United States,Bachelor's Degree,2000,25425000
United States,Graduate degree,2000,13774000
United States,Not a high school graduate,2001,21743000
United States,High school diploma or GED,2001,73453000
United States,Associate's Degree,2001,10976000
United States,Bachelor's Degree,2001,26273000
United States,Graduate degree,2001,14254000
United States,Not a high school graduate,2002,21464000
United States,High school diploma or GED,2002,74537000
United States,Associate's Degree,2002,11357000
United States,Bachelor's Degree,2002,26969000
United States,Graduate degree,2002,14769000
United States,Not a high school graduate,2003,20297000
United States,High school diploma or GED,2003,75338000
United States,Associate's Degree,2003,11825000
United States,Bachelor's Degree,2003,27710000
United States,Graduate degree,2003,15329000
United States,Not a high school graduate,2004,20252000
United States,High school diploma or GED,2004,75674000
United States,Associate's Degree,2004,12111000
United States,Bachelor's Degree,2004,28498000
United States,Graduate degree,2004,15795000
United States,Not a high school graduate,2005,20218000
United States,High school diploma or GED,2005,76270000
United States,Associate's Degree,2005,12731000
United States,Bachelor's Degree,2005,28872000
United States,Graduate degree,2005,16100000
United States,Not a high school graduate,2006,21119000
United States,High school diploma or GED,2006,78534000
United States,Associate's Degree,2006,13154000
United States,Bachelor's Degree,2006,29560000
United States,Graduate degree,2006,16375000
United States,Not a high school graduate,2007,20821000
United States,High school diploma or GED,2007,78924000
United States,Associate's Degree,2007,13280000
United States,Bachelor's Degree,2007,30225000
United States,Graduate degree,2007,16803000
United States,Not a high school graduate,2008,20622000
United States,High school diploma or GED,2008,79504000
United States,Associate's Degree,2008,13497000
United States,Bachelor's Degree,2008,30618000
United States,Graduate degree,2008,16976000
United States,Not a high school graduate,2009,20515000
United States,High school diploma or GED,2009,80017000
United States,Associate's Degree,2009,13575000
United States,Bachelor's Degree,2009,31002000
United States,Graduate degree,2009,17336000
United States,Not a high school graduate,2010,20512000
United States,High school diploma or GED,2010,80560000
United States,Associate's Degree,2010,13832000
United States,Bachelor's Degree,2010,31423000
United States,Graduate degree,2010,17528000
United States,Not a high school graduate,2011,20276000
United States,High school diploma or GED,2011,80877000
United States,Bachelor's Degree,2011,31858000
United States,Graduate degree,2011,17904000
United States,Associate's Degree,2011,14172000
United States,Not a high school graduate,2012,19849000
United States,High school diploma or GED,2012,80498000
United States,Associate's Degree,2012,14518000
United States,Bachelor's Degree,2012,32410000
United States,Graduate degree,2012,18315000
United States,Not a high school graduate,2013,19808000
United States,High school diploma or GED,2013,80018000
United States,Associate's Degree,2013,14711000
United States,Bachelor's Degree,2013,32970000
United States,Graduate degree,2013,18740000
United States,Not a high school graduate,2014,19643000
United States,High school diploma or GED,2014,80147000
United States,Associate's Degree,2014,14935000
United States,Bachelor's Degree,2014,33566000
United States,Graduate degree,2014,19220000
United States,Not a high school graduate,2015,19593000
United States,High school diploma or GED,2015,80075000
United States,Associate's Degree,2015,15114000
United States,Bachelor's Degree,2015,34395000
United States,Graduate degree,2015,19538000
United States,Not a high school graduate,2016,19308000
United States,High school diploma or GED,2016,79423000
